study_id,vocabulary_type_step1,vocabulary_type_step2,midpoint,slope,upper_limit,AIC_LL.3,AIC_Cubic,AIC_Quad,AIC_Lin,cumulative_exp_Eng,cumulative_exp_Fre,end_age,lang_status,dominant_lang,exposure_balance,exposure_percent,n_months,age,starting_age,eng_completed,fr_completed,num_datapts,vocabulary_score,num_missing_datapts,total,dominance,words_learned
S023,word,word,22.24341577674602,7.1042658834387975,1108.185986684928,113.21045462357408,112.08556170886042,129.31599743037947,142.02481184785438,76.56746031746032,23.432539682539684,30,bilingual,eng_dom,23.432539682539684,NA,15,30.508064516129032,16.39462365591398,TRUE,TRUE,15,998,2,1344,NA,88.99521531100518
S023,concept,concept,20.77573182857135,7.751377644697301,723.3873455558096,105.7935992266769,105.40803217817552,112.5099353171182,144.0000255141822,76.56746031746032,23.432539682539684,30,bilingual,eng_dom,23.432539682539684,NA,15,30.508064516129032,16.39462365591398,TRUE,TRUE,15,687,2,733,NA,37.236328124999865
S033,English,single,26.31489587170112,8.512594958356425,499.005017547875,113.5879830973054,121.05405237674992,133.83952926804096,146.3843836151092,30.728948470883953,69.27105152911605,31,bilingual,fr_dom,30.728948470883953,30.728948470883953,15,30.64731182795699,16.652073732718893,TRUE,TRUE,15,380,0,680,nondominant,40.60702875399368
S033,French,single,21.117754043586302,9.479677097096994,688.9038834897627,112.33059939690366,132.39187945464533,145.28029822060384,168.71161003782817,30.728948470883953,69.27105152911605,31,bilingual,fr_dom,30.728948470883953,69.27105152911605,15,30.64731182795699,16.652073732718893,TRUE,TRUE,15,659,0,664,dominant,76.81172291296625
S033,word,word,22.877693537156812,7.801717498772821,1160.3463841441344,122.58407807595422,122.32259762276672,155.4433799518567,162.05195717693408,30.728948470883953,69.27105152911605,31,bilingual,fr_dom,30.728948470883953,NA,15,30.64731182795699,16.652073732718893,TRUE,TRUE,15,1039,0,1344,NA,91.54553817847292
S033,concept,concept,21.15238944678586,9.202570116408577,704.7013657127599,112.26962039017324,128.53490930665032,144.29198762878102,168.19508539045887,30.728948470883953,69.27105152911605,31,bilingual,fr_dom,30.728948470883953,NA,15,30.64731182795699,16.652073732718893,TRUE,TRUE,15,670,0,733,NA,74.33392539964476
S036,French,single,25.74707625876948,10.607535121551935,499.8868337635337,86.28173294725937,99.52706633520964,124.08494315575508,132.29603031688544,46.400000000000006,53.6,25,bilingual,fr_dom,46.400000000000006,53.6,15,30.843010752688173,16.995391705069125,TRUE,TRUE,14,437,2,664,dominant,55.959885386819415
S036,word,word,27.727222931412125,8.548143542379895,993.730476201762,105.221230866317,114.65944352399758,122.86780237250107,146.42793825038143,46.400000000000006,53.6,25,bilingual,fr_dom,46.400000000000006,NA,15,30.843010752688173,16.995391705069125,TRUE,TRUE,14,709,2,1344,NA,70.88154269972446
S036,concept,concept,26.197658678091734,9.309176710890643,581.4859948120895,87.58859389532763,100.54343663362876,120.61664201089988,131.7911951419365,46.400000000000006,53.6,25,bilingual,fr_dom,46.400000000000006,NA,15,30.843010752688173,16.995391705069125,TRUE,TRUE,14,477,2,733,NA,68.41961852861037
S047,English,single,24.508413329468823,10.935029392764076,138.4898828840859,69.99503995151713,72.19164718285231,84.29173190125528,86.6256792383644,17.53155680224404,82.46844319775596,31,bilingual,fr_dom,17.53155680224404,17.53155680224404,14,30.329032258064515,17.100230414746544,TRUE,TRUE,13,130,2,680,nondominant,13.433333333333369
S047,French,single,20.048809293287405,9.46041741122416,651.8565121197299,102.25653979031851,119.14574928415996,118.1073817905068,149.05796683181765,17.53155680224404,82.46844319775596,31,bilingual,fr_dom,17.53155680224404,82.46844319775596,14,30.329032258064515,17.100230414746544,TRUE,TRUE,13,637,1,664,dominant,73.77870563674314
S047,word,word,20.76767807425857,8.681766767299436,792.4390807177132,95.2234470612868,112.1346851051634,114.6224417070371,137.964049912686,17.53155680224404,82.46844319775596,31,bilingual,fr_dom,17.53155680224404,NA,14,30.329032258064515,17.100230414746544,TRUE,TRUE,13,767,2,1344,NA,86.63498098859304
S047,concept,concept,20.088635086121837,9.278670371626797,656.9811342170715,95.49215428345488,109.89241405078228,109.87505045720393,138.44170968350232,17.53155680224404,82.46844319775596,31,bilingual,fr_dom,17.53155680224404,NA,14,30.329032258064515,17.100230414746544,TRUE,TRUE,13,641,2,733,NA,71.83716075156569
S063,French,single,27.66139734522078,8.983597763465784,693.2754382845176,99.31345678712394,103.864583313948,103.96639607419134,136.90915086580233,40.71328391103987,51.73311961530756,31,bilingual,fr_dom,40.71328391103987,51.73311961530756,13,29.233333333333334,17.033333333333335,TRUE,TRUE,13,428,2,664,dominant,85.06097560975606
