study_id,n_months,age,starting_age,eng_completed,fr_completed,num_datapts,vocabulary_type_step1,vocabulary_score,num_missing_datapts,total
S098,14,30.129032258064516,17.1,TRUE,TRUE,14,French,219,0,664
S098,14,30.129032258064516,17.1,TRUE,TRUE,14,word,358,0,1344
S098,14,30.129032258064516,17.1,TRUE,TRUE,14,concept,259,0,733
S100,14,29.75698924731183,16.550537634408602,TRUE,NA,12,English,612,2,680
S100,14,29.75698924731183,16.550537634408602,TRUE,NA,12,word,612,2,680
S100,14,29.75698924731183,16.550537634408602,TRUE,NA,12,concept,612,2,680
S101,14,29.498924731182797,16.61720430107527,TRUE,NA,14,English,90,0,680
S101,14,29.498924731182797,16.61720430107527,TRUE,NA,14,word,90,0,680
S101,14,29.498924731182797,16.61720430107527,TRUE,NA,14,concept,90,0,680
S103,14,29.363440860215057,16.098924731182795,TRUE,TRUE,14,English,201,0,680
S103,14,29.363440860215057,16.098924731182795,TRUE,TRUE,14,French,336,0,664
S103,14,29.363440860215057,16.098924731182795,TRUE,TRUE,14,word,537,0,1344
S103,14,29.363440860215057,16.098924731182795,TRUE,TRUE,14,concept,383,0,733
S104,14,29.26021505376344,16.327956989247312,TRUE,TRUE,14,English,37,2,680
S104,14,29.26021505376344,16.327956989247312,TRUE,TRUE,14,French,293,0,664
S104,14,29.26021505376344,16.327956989247312,TRUE,TRUE,14,word,330,2,1344
S104,14,29.26021505376344,16.327956989247312,TRUE,TRUE,14,concept,295,2,733
S106,14,29.58494623655914,16.46559139784946,NA,TRUE,14,French,549,0,664
S106,14,29.58494623655914,16.46559139784946,NA,TRUE,14,word,549,0,664
S106,14,29.58494623655914,16.46559139784946,NA,TRUE,14,concept,549,0,664
S107,13,29.695698924731182,17.72795698924731,NA,TRUE,11,French,584,2,664
S107,13,29.695698924731182,17.72795698924731,NA,TRUE,11,word,584,2,664
S107,13,29.695698924731182,17.72795698924731,NA,TRUE,11,concept,584,2,664
S108,13,29.486021505376343,17.356989247311827,TRUE,TRUE,13,English,469,0,680
S108,13,29.486021505376343,17.356989247311827,TRUE,TRUE,13,French,122,1,664
S108,13,29.486021505376343,17.356989247311827,TRUE,TRUE,13,word,591,1,1344
S108,13,29.486021505376343,17.356989247311827,TRUE,TRUE,13,concept,481,1,733
S113,14,29.793548387096777,16.67956989247312,NA,TRUE,14,French,407,0,664
S113,14,29.793548387096777,16.67956989247312,NA,TRUE,14,word,407,0,664
S113,14,29.793548387096777,16.67956989247312,NA,TRUE,14,concept,407,0,664
S115,14,29.13118279569893,16.163440860215054,NA,TRUE,14,French,447,0,664
S115,14,29.13118279569893,16.163440860215054,NA,TRUE,14,word,447,0,664
S115,14,29.13118279569893,16.163440860215054,NA,TRUE,14,concept,447,0,664
S116,13,29.2,17,TRUE,NA,13,English,438,0,680
S116,13,29.2,17,TRUE,NA,13,word,438,0,680
S116,13,29.2,17,TRUE,NA,13,concept,438,0,680
S118,13,28.77741935483871,16.744086021505375,TRUE,TRUE,14,French,482,4,664
S118,13,28.77741935483871,16.744086021505375,TRUE,TRUE,14,word,1155,4,1344
S118,13,28.77741935483871,16.744086021505375,TRUE,TRUE,14,concept,701,4,733
S118,14,29.698924731182796,16.744086021505375,TRUE,FALSE,14,English,673,0,680
S120,14,30.032258064516128,16.905376344086022,TRUE,TRUE,12,English,272,2,680
S120,14,30.032258064516128,16.905376344086022,TRUE,TRUE,12,French,221,2,664
S120,14,30.032258064516128,16.905376344086022,TRUE,TRUE,12,word,493,2,1344
S120,14,30.032258064516128,16.905376344086022,TRUE,TRUE,12,concept,358,2,733
S122,13,28.65483870967742,16.421505376344086,TRUE,NA,10,English,651,4,680
S122,13,28.65483870967742,16.421505376344086,TRUE,NA,10,word,651,4,680
S122,13,28.65483870967742,16.421505376344086,TRUE,NA,10,concept,651,4,680
S125,14,30.00230414746544,16.70967741935484,TRUE,TRUE,14,English,91,0,680
S125,14,30.00230414746544,16.70967741935484,TRUE,TRUE,14,French,75,0,664
S125,14,30.00230414746544,16.70967741935484,TRUE,TRUE,14,word,166,0,1344
S125,14,30.00230414746544,16.70967741935484,TRUE,TRUE,14,concept,118,0,733
S126,12,27.963440860215055,17.032258064516128,TRUE,TRUE,10,English,157,5,680
S126,12,27.963440860215055,17.032258064516128,TRUE,TRUE,10,French,449,3,664
S126,12,27.963440860215055,17.032258064516128,TRUE,TRUE,10,word,606,5,1344
S126,12,27.963440860215055,17.032258064516128,TRUE,TRUE,10,concept,459,5,733
S130,14,29.269187986651836,16.33294930875576,NA,TRUE,14,French,343,0,664
S130,14,29.269187986651836,16.33294930875576,NA,TRUE,14,word,343,0,664
S130,14,29.269187986651836,16.33294930875576,NA,TRUE,14,concept,343,0,664
S131,13,28.80184331797235,16.62327188940092,TRUE,NA,13,English,621,1,680
S131,13,28.80184331797235,16.62327188940092,TRUE,NA,13,word,621,1,680
S131,13,28.80184331797235,16.62327188940092,TRUE,NA,13,concept,621,1,680
S132,13,30.29032258064516,17.96106785317019,TRUE,TRUE,12,English,63,1,680
S132,13,30.29032258064516,17.96106785317019,TRUE,TRUE,12,French,363,1,664
S132,13,30.29032258064516,17.96106785317019,TRUE,TRUE,12,word,426,1,1344
S132,13,30.29032258064516,17.96106785317019,TRUE,TRUE,12,concept,370,1,733
S133,11,27.677419354838708,17.299221357063402,NA,TRUE,10,French,447,3,664
S133,11,27.677419354838708,17.299221357063402,NA,TRUE,10,word,447,3,664
S133,11,27.677419354838708,17.299221357063402,NA,TRUE,10,concept,447,3,664
